Start Time, End Time, State, State Name
2016-01-14 00:00:00,2016-01-14 00:00:00,0,0)
2016-01-15 00:00:00,2016-01-15 00:00:00,4,4)
2016-01-19 00:00:00,2016-01-19 00:00:00,0,0)
2016-01-20 00:00:00,2016-01-20 00:00:00,4,4)
2016-01-21 00:00:00,2016-01-22 00:00:00,0,0)
2016-01-25 00:00:00,2016-01-25 00:00:00,4,4)
2016-01-26 00:00:00,2016-01-26 00:00:00,0,0)
2016-01-27 00:00:00,2016-01-27 00:00:00,4,4)
2016-01-28 00:00:00,2016-01-29 00:00:00,0,0)
2016-02-01 00:00:00,2016-02-01 00:00:00,4,4)
2016-02-02 00:00:00,2016-02-03 00:00:00,0,0)
2016-02-04 00:00:00,2016-02-04 00:00:00,4,4)
2016-02-05 00:00:00,2016-02-08 00:00:00,0,0)
2016-02-09 00:00:00,2016-02-09 00:00:00,4,4)
2016-02-10 00:00:00,2016-02-10 00:00:00,0,0)
2016-02-11 00:00:00,2016-02-11 00:00:00,4,4)
2016-02-12 00:00:00,2016-02-12 00:00:00,0,0)
2016-02-16 00:00:00,2016-02-16 00:00:00,4,4)
2016-02-17 00:00:00,2016-02-17 00:00:00,0,0)
2016-02-18 00:00:00,2016-02-18 00:00:00,4,4)
2016-02-19 00:00:00,2016-02-22 00:00:00,0,0)
2016-02-23 00:00:00,2016-02-23 00:00:00,4,4)
2016-02-24 00:00:00,2016-02-24 00:00:00,0,0)
2016-02-25 00:00:00,2016-02-25 00:00:00,4,4)
2016-02-26 00:00:00,2016-02-26 00:00:00,0,0)
2016-02-29 00:00:00,2016-02-29 00:00:00,4,4)
2016-03-01 00:00:00,2016-03-01 00:00:00,0,0)
2016-03-02 00:00:00,2016-03-02 00:00:00,4,4)
2016-03-03 00:00:00,2016-03-03 00:00:00,0,0)
2016-03-04 00:00:00,2016-03-29 00:00:00,2,2)
2016-03-30 00:00:00,2016-04-04 00:00:00,3,3)
2016-04-05 00:00:00,2016-04-14 00:00:00,2,2)
2016-04-15 00:00:00,2016-04-27 00:00:00,3,3)
2016-04-28 00:00:00,2016-05-27 00:00:00,2,2)
2016-05-31 00:00:00,2016-06-23 00:00:00,3,3)
2016-06-24 00:00:00,2016-06-24 00:00:00,4,4)
2016-06-27 00:00:00,2016-06-28 00:00:00,0,0)
2016-06-29 00:00:00,2016-06-29 00:00:00,4,4)
2016-06-30 00:00:00,2016-07-01 00:00:00,0,0)
2016-07-05 00:00:00,2016-07-05 00:00:00,4,4)
2016-07-06 00:00:00,2016-07-06 00:00:00,0,0)
2016-07-07 00:00:00,2016-07-07 00:00:00,4,4)
2016-07-08 00:00:00,2016-07-08 00:00:00,0,0)
2016-07-11 00:00:00,2016-07-11 00:00:00,4,4)
2016-07-12 00:00:00,2016-07-12 00:00:00,0,0)
2016-07-13 00:00:00,2016-07-25 00:00:00,2,2)
2016-07-26 00:00:00,2016-09-08 00:00:00,3,3)
2016-09-09 00:00:00,2016-09-09 00:00:00,4,4)
2016-09-12 00:00:00,2016-09-12 00:00:00,0,0)
2016-09-13 00:00:00,2016-09-13 00:00:00,4,4)
2016-09-14 00:00:00,2016-09-14 00:00:00,0,0)
2016-09-15 00:00:00,2016-10-19 00:00:00,2,2)
2016-10-20 00:00:00,2016-11-04 00:00:00,3,3)
2016-11-07 00:00:00,2016-11-11 00:00:00,2,2)
2016-11-14 00:00:00,2017-05-16 00:00:00,3,3)
2017-05-17 00:00:00,2017-05-22 00:00:00,2,2)
2017-05-23 00:00:00,2017-08-09 00:00:00,3,3)
2017-08-10 00:00:00,2017-08-24 00:00:00,2,2)
2017-08-25 00:00:00,2018-01-29 00:00:00,3,3)
2018-01-30 00:00:00,2018-02-02 00:00:00,2,2)
2018-02-05 00:00:00,2018-02-05 00:00:00,4,4)
2018-02-06 00:00:00,2018-02-06 00:00:00,0,0)
2018-02-07 00:00:00,2018-02-07 00:00:00,4,4)
2018-02-08 00:00:00,2018-02-09 00:00:00,0,0)
2018-02-12 00:00:00,2018-02-12 00:00:00,4,4)
2018-02-13 00:00:00,2018-02-14 00:00:00,0,0)
2018-02-15 00:00:00,2018-02-15 00:00:00,4,4)
2018-02-16 00:00:00,2018-02-16 00:00:00,0,0)
2018-02-20 00:00:00,2018-02-20 00:00:00,4,4)
2018-02-21 00:00:00,2018-02-21 00:00:00,0,0)
2018-02-22 00:00:00,2018-02-22 00:00:00,4,4)
2018-02-23 00:00:00,2018-02-23 00:00:00,0,0)
2018-02-26 00:00:00,2018-02-26 00:00:00,4,4)
2018-02-27 00:00:00,2018-02-28 00:00:00,0,0)
2018-03-01 00:00:00,2018-03-01 00:00:00,4,4)
2018-03-02 00:00:00,2018-03-02 00:00:00,0,0)
2018-03-05 00:00:00,2018-03-05 00:00:00,4,4)
2018-03-06 00:00:00,2018-03-06 00:00:00,0,0)
2018-03-07 00:00:00,2018-03-07 00:00:00,4,4)
2018-03-08 00:00:00,2018-03-08 00:00:00,0,0)
2018-03-09 00:00:00,2018-03-21 00:00:00,2,2)
2018-03-22 00:00:00,2018-03-22 00:00:00,4,4)
2018-03-23 00:00:00,2018-03-26 00:00:00,0,0)
2018-03-27 00:00:00,2018-03-27 00:00:00,4,4)
2018-03-28 00:00:00,2018-03-29 00:00:00,0,0)
2018-04-02 00:00:00,2018-04-02 00:00:00,4,4)
