State,mean_return,cum_return,win_rate,volatility,sharpe,auto_name
3.0,0.0048,10.4799,0.6718,0.0118,0.408,Strong Bull
0.0,0.0023,2.637,0.6372,0.0061,0.3808,Bull
1.0,0.0022,1.4952,0.6698,0.0044,0.4914,Neutral
2.0,-0.0034,-0.7118,0.3251,0.0087,-0.3878,Bear
4.0,-0.0037,-0.9054,0.3851,0.0171,-0.2145,Strong Bear
