State,mean_return,cum_return,win_rate,volatility,sharpe,auto_name
0.0,0.0048,8.4352,0.6688,0.012,0.4005,Strong Bull
1.0,0.0013,0.1028,0.5462,0.0319,0.0417,Bull
3.0,0.0009,0.6401,0.5672,0.0041,0.2148,Neutral
2.0,0.0009,1.2239,0.5578,0.0068,0.1268,Bear
4.0,-0.007,-0.9252,0.2912,0.0134,-0.5225,Strong Bear
