State,mean_return,cum_return,win_rate,volatility,sharpe,auto_name
0.0,0.0025,1.5998,0.5934,0.0152,0.1661,Strong Bull
5.0,0.0017,0.807,0.5734,0.0092,0.1823,Bull
4.0,0.0011,0.6599,0.5544,0.0081,0.1309,Neutral
3.0,0.0007,0.1693,0.5714,0.0141,0.0523,Neutral
1.0,0.0003,0.1034,0.5261,0.006,0.0416,Neutral
6.0,-0.0,-0.0077,0.5681,0.0084,-0.0001,Bear
2.0,-0.0035,-0.7155,0.4126,0.0166,-0.2084,Strong Bear
